"surah","ayahs","cause"
8,"1-2-3-4-5","عَنْ سَعْدٍ رضي الله عنه: أَنَّهُ نَزَلَتْ فِيهِ آيَاتٌ مِنْ الْقُرْآنِ، قَالَ: حَلَفَتْ أُمُّ سَعْدٍ أَنْ لَا تُكَلِّمَهُ أَبَداً حَتَّى يَكْفُرَ بِدِينِهِ، وَلَا تَأْكُلَ وَلَا تَشْرَبَ، قَالَتْ: زَعَمْتَ أَنَّ اللهَ وَصَّاكَ بِوَالِدَيْكَ، وَأَنَا أُمُّكَ وَأَنَا آمُرُكَ بِهَذَا. قَالَ: مَكَثَتْ ثَلاثاً حَتَّى غُشِيَ عَلَيْهَا مِنْ الْجَهْدِ، فَقَامَ ابْنٌ لَهَا يُقَالُ لَهُ عُمَارَة، فَسَقَاهَا، فَجَعَلَتْ تَدْعُو عَلَى سَعْدٍ، فَأَنْزَلَ اللهُ عز و جل فِي الْقُرْآنِ هَذِهِ الْآيَةَ: { وَوَصَّيْنَا ٱلْإِنسَـٰنَ بِوَٰلِدَيْهِ حُسْنًا ۖ وَإِن جَـٰهَدَاكَ لِتُشْرِكَ بِى } وفيها { وَصَاحِبْهُمَا فِى ٱلدُّنْيَا مَعْرُوفًا ۖ }.

قَالَ: وَأَصَابَ رَسُولُ اللهِ ﷺ غَنِيمَةً عَظِيمَةً، فَإِذَا فِيهَا سَيْفٌ فَأَخَذْتُهُ، فَأَتَيْتُ بِهِ الرَّسُولَ ﷺ، فَقُلْتُ: نَفِّلْنِي هَذَا السَّيْفَ، فَأَنَا مَنْ قَدْ عَلِمْتَ حَالَهُ. فَقَالَ: « رُدُّهُ مِنْ حَيْثُ أَخَذْتَهُ »، فَانْطَلَقْتُ، حَتَّى إِذَا أَرَدْتُ أَنْ أُلْقِيَهُ فِي الْقَبْضِ لَامَتْنِي نَفْسِي، فَرَجَعْتُ إِلَيْهِ، فَقُلْتُ: أَعْطِنِيهِ، قَالَ: فَشَدَّ لِي صَوْتَهُ: « رُدُّهُ مِنْ حَيْثُ أَخَذْتَهُ »، قَالَ: فَأَنْزَلَ اللهُ عز و جل: { يَسْـَٔلُونَكَ عَنِ ٱلْأَنفَالِ ۖ }. قَالَ: وَمَرِضْتُ فَأَرْسَلْتُ إِلَى النَّبِيِّ ﷺ فَأَتَانِي، فَقُلْتُ: دَعْنِي أَقْسِمْ مَالِي حَيْثُ شِئْتُ، قَالَ: فَأَبَى، قُلْتُ: فَالنِّصْفَ، قَالَ: فَأَبَى، قُلْتُ: فَالثُّلُثَ، قَالَ: فَسَكَتَ، فَكَانَ بَعْدُ، الثُّلُثُ جَائِزاً.

قَالَ: وَأَتَيْتُ عَلَى نَفَرٍ مِنْ الْأَنْصَارِ وَالمُهَاجِرِينَ، فَقَالُوا: تَعَالَ نُطْعِمْكَ
وَنَسْقِكَ خَمْراً، وَذَلِكَ قَبْلَ أَنْ تُحَرَّمَ الْخَمْرُ، قَالَ: فَأَتَيْتُهُمْ فِي حَشٍّ - وَالْحَشُّ الْبُسْتَانُ - فَإِذَا رَأْسُ جَزُورٍ مَشْوِيٌّ عِنْدَهُمْ، وَزِقٌ مِنْ خَمْرٍ، قَالَ: فَأَكَلْتُ وَشَرِبْتُ مَعَهُمْ، قَالَ: فَذَكَرْتُ الْأَنْصَارَ وَالْمُهَاجِرِينَ عِنْدَهُمْ، فَقُلْتُ: الْمُهَاجِرُونَ خَيْرٌ مِنْ الْأَنْصَارِ، قَالَ: فَأَخَذَ رَجُلٌ أَحَدَ لَحْيَيْ الرَّأْسِ فَضَرَبَنِي بِهِ فَجَرَحَ بِأَنْفِي، فَأَتَيْتُ رَسُولَ اللهِ ﷺ فَأَخْبَرْتُهُ، فَأَنْزَلَ اللهُ عز و جل فِيَّ - يَعْنِي نَفْسَهُ - شَأْنَ الْخَمْرِ: { إِنَّمَا ٱلْخَمْرُ وَٱلْمَيْسِرُ وَٱلْأَنصَابُ وَٱلْأَزْلَـٰمُ رِجْسٌ مِّنْ عَمَلِ ٱلشَّيْطَـٰنِ }. واللفظ لمسلم في الفضائل."
8,"1-2-3-4-5","وللآية سبب آخر فقد جاء: عَنْ أَبِي أُمَامَةَ، عَنْ عُبَادَةَ بْنِ الصَّامِتِ رضي الله عنه قَالَ: خَرَجْنَا مَعَ النَّبِيِّ ﷺ فَشَهِدْتُ مَعَهُ بَدْراً، فَالْتَقَى النَّاسُ فَهَزَمَ اللهُ تَبَارَكَ وَتَعَالَى الْعَدُوَّ، فَانْطَلَقَتْ طَائِفَةٌ فِي آثَارِهِمْ يَهْزِمُونَ وَيَقْتُلُونَ، فَأَكَبَّتْ طَائِفَةٌ عَلَى الْعَسْكَرِ يَحْوُونَهُ وَيَجْمَعُونَهُ، وَأَحْدَقَتْ طَائِفَةٌ بِرَسُولِ اللهِ ﷺ لَا يُصِيبُ الْعَدُوُّ مِنْهُ غِرَّةً، حَتَّى إِذَا كَانَ اللَّيْلُ، وَفَاءَ النَّاسُ بَعْضُهُمْ إِلَى بَعْضٍ، قَالَ الَّذِينَ جَمَعُوا الْغَنَائِمَ: نَحْنُ حَوَيْنَاهَا وَجَمَعْنَاهَا، فَلَيْسَ لِأَحَدٍ فِيهَا نَصِيبٌ، وَقَالَ الَّذِينَ خَرَجُوا فِي طَلَبِ الْعَدُوِّ: لَسْتُمْ بِأَحَقَّ بِهَا مِنَّا، نَحْنُ نَفَيْنَا عَنْهَا الْعَدُوَّ وَهَزَمْنَاهُمْ، وَقَالَ الَّذِينَ أَحْدَقُوا بِرَسُولِ اللهِ ﷺ: لَسْتُمْ بِأَحَقَّ بِهَا مِنَّا نَحْنُ أَحْدَقْنَا بِرَسُولِ اللهِ ﷺ وَخِفْنَا أَنْ يُصِيبَ الْعَدُوُّ مِنْهُ غِرَّةً، وَاشْتَغَلْنَا بِهِ.

فَنَزَلَتْ: { يَسْـَٔلُونَكَ عَنِ ٱلْأَنفَالِ ۖ قُلِ ٱلْأَنفَالُ لِلَّهِ وَٱلرَّسُولِ ۖ فَٱتَّقُوا۟ ٱللَّهَ وَأَصْلِحُوا۟ ذَاتَ بَيْنِكُمْ ۖ } فَقَسَمَهَا رَسُولُ الله ﷺ عَلَى فَوَاقٍ بَيْنَ الْمُسْلِمِينَ، قَالَ: وَكَانَ رَسُولُ اللهِ ﷺ إِذَا أَغَارَ فِي أَرْضِ الْعَدُوِّ، نَفَلَ الرُّبُعَ، وَإِذَا أَقْبَلَ رَاجِعاً وَكُلَّ النَّاسِ نَفَلَ الثُّلُثَ، وَكَانَ يَكْرَهُ الْأَنْفَالَ وَيَقُولُ: لِيَرُدَّ قَوِيُّ الْمُؤْمِنِينَ عَلَى ضَعِيفِهِمْ السَّوَاءِ. واللفظ لأحمد.

وله شاهد من حديث جاء عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما."
8,"5","وعن أبي أيوب الأنصاري رضي الله عنه قال: قال رسول الله ﷺ: ونحن بالمدينة: « إني أخبرت ونحن بالمدينة عن عير أبي سفيان أنها مقبلة، فهل لكم أن نخرج قبل هذا العير، لعل الله يغنمناها »، قلنا: نعم، فخرج و خرجنا معه، فلما سرنا يوماً أو يومين، قال لنا: « ما ترون في القوم فإنهم أخبروا بمخرجكم؟ » فقلنا: لا والله ما لنا طاقة بقتال العدو، ولكن أردنا العير، ثم قال: « ما ترون في القوم؟ » فقلنا: مثل ذلك، فقال المقداد بن عمرو: إذاً لا نقول لك يا رسول الله كما قال قوم موسى لموسى: ""اذهب أنت وربك فقاتلا إنا ههنا قاعدون"". قال: فتمنينا معشر الأنصار أنا قلنا كما قال المقداد، أحب إلينا من أن يكون لنا مال عظيم، فأنزل الله عز و جل على رسوله ﷺ { كَمَآ أَخْرَجَكَ رَبُّكَ مِنۢ بَيْتِكَ بِٱلْحَقِّ وَإِنَّ فَرِيقًا مِّنَ ٱلْمُؤْمِنِينَ لَكَـٰرِهُونَ ﴿٥﴾ يُجَـٰدِلُونَكَ فِى ٱلْحَقِّ بَعْدَ مَا تَبَيَّنَ كَأَنَّمَا يُسَاقُونَ إِلَى ٱلْمَوْتِ وَهُمْ يَنظُرُونَ ﴿٦﴾ }."
8,"9","عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما: حَدَّثَنِي عُمَرُ بْنُ الْخَطَّابَ رضي الله عنه قَالَ: لَمَّا كَانَ يَوْمُ بَدْرٍ، نَظَرَ النَّبِيُّ ﷺ إِلَى أَصْحَابِهِ وَهُمْ ثَلَاثُ مِئَةٍ وَنَيْفٌ، وَنَظَرَ إِلَى الْمُشْرِكِينَ وَهُمْ أَلْفٌ وَزِيَادَةٌ، فَاسْتَقْبَلَ النَّبِيُّ ﷺ الْقِبْلَةَ ثُمَّ مَدَّ يَدَيْهِ، وَعَلَيْهِ رِدَاؤُهُ وَإِزَارُهُ، ثُمَّ قَالَ: « اللَّهُمَّ أَيْنَ مَا وَعَدْتَنِي؟، اللَّهُمَّ أَنجزْ لِي مَا وَعَدْتَنِي، اللَّهُمَّ إِنْ تَهْلِكُ هَذِهِ الْعِصَابَةُ مِنْ أَهْلِ الْإِسْلَام فَلَا تُعْبَدْ فِي الْأَرْضِ أَبداً »، قَالَ: فَمَا زَالَ يَسْتَغِيثُ رَبَّهُ عز و جل، وَيَدْعُوهُ حَتَّى سَقَطَ رِدَاؤُهُ عَنْ مَنْكِبَيْهِ، فَأَتَاهُ أَبُو بَكْرٍ، فَأَخَذَ رِدَاءَهُ فَرَدَّاهُ ثُمَّ الْتَزَمَهُ مِنْ وَرَائِهِ، ثُمَّ قَالَ: يَا نَبِيَّ اللهِ كَفَاكَ مُنَاشَدَتُكَ رَبَّكَ، فَإِنَّهُ سَيُنْجِزُ لَكَ مَا وَعَدَكَ، فَأَنْزَلَ اللهُ عز و جل { إِذْ تَسْتَغِيثُونَ رَبَّكُمْ فَٱسْتَجَابَ لَكُمْ أَنِّى مُمِدُّكُم بِأَلْفٍ مِّنَ ٱلْمَلَـٰٓئِكَةِ مُرْدِفِينَ ﴿٩﴾... } واللفظ لأحمد."
8,"17","وعن حكيم بن حزام رضي الله عنه قال: لما كان يوم بدر، أمر رسول الله ﷺ علياً فأخذ كفَّا من الحصى، فاستقبلنا به، فرمى بها، وقال: « شاهت الوجوه »، فانهزمنا فأنزل الله عز و جل: { وَمَا رَمَيْتَ إِذْ رَمَيْتَ وَلَـٰكِنَّ ٱللَّهَ رَمَىٰ ۚ }."
8,"17","وعن ابن عباس رضي الله عنهما: أن النبي ﷺ قال لعلي: « ناولني كفا من حصی »، فناوله، فرمی به وجوه القوم، فما بقي أحد من القوم إلا امتلأت عيناه من الحصباء، فنزلت: { وَمَا رَمَيْتَ إِذْ رَمَيْتَ وَلَـٰكِنَّ ٱللَّهَ رَمَىٰ ۚ }، الآية."
8,"19","عن عبد الله بن ثعلبة بن صُعَيْر رضي الله عنه: أن أبا جهل قال يوم بدر: اللهم أينا كان أقطع للرحم، وآتانا بما لا يعرف، فأحنه الغداة، وكان استفتاحاً منه، فنزلت: { إِن تَسْتَفْتِحُوا۟ فَقَدْ جَآءَكُمُ ٱلْفَتْحُ ۖ }، إلى آخر الآية."
8,"33-34","عَنْ أَنَسِ بْنِ مَالِكٍ رضي الله عنه: قَالَ أَبُو جَهْلٍ: اللَّهُمَّ إِنْ كَانَ هَذَا هُوَ الْحَقَّ مِنْ عِنْدِكَ فَأَمْطِرْ عَلَيْنَا حِجَارَةً مِنْ السَّمَاءِ أَوْ ائْتِنَا بِعَذَابٍ أَلِيمٍ، فَنَزَلَتْ: { وَمَا كَانَ ٱللَّهُ لِيُعَذِّبَهُمْ وَأَنتَ فِيهِمْ ۚ وَمَا كَانَ ٱللَّهُ مُعَذِّبَهُمْ وَهُمْ يَسْتَغْفِرُونَ ﴿٣٣﴾ } الْآيَةَ."
8,"67-68-69","عن ابنِ عَبَّاسٍ قَالَ: بَيْنَمَا رَجُلٌ مِنْ الْمُسْلِمِينَ يَوْمَئِذٍ يَشْتَدُّ فِي أَثَرِ رَجُلٍ مِنْ الْمُشْرِكِينَ أَمَامَهُ، إِذْ سَمِعَ ضَرْبَةً بِالسَّوْطِ فَوْقَهُ، وَصَوْتَ الْفَارِسِ يَقُولُ: أَقْدِمْ حَيْزُومُ، فَنَظَرَ إِلَى الْمُشْرِكِ أَمَامَهُ فَخَرَّ مُسْتَلْقِياً، فَنَظَرَ إِلَيْهِ فَإِذَا هُوَ قَدْ خُطِمَ أَنْفُهُ، وَشُقَّ وَجْهُهُ كَضَرْبَةِ السَّوْطِ، فَاخْضَرَّ ذَلِكَ أَجْمَعُ، فَجَاءَ الْأَنْصَارِيُّ فَحَدَّثَ بِذَلِكَ رَسُولَ اللهِ ﷺ فَقَالَ: « صَدَقْتَ، ذَلِكَ مِنْ مَدَدِ السَّمَاءِ الثَّالِثَةِ » فَقَتَلُوا يَوْمَئِذٍ سَبْعِينَ، وَأَسَرُوا سَبْعِينَ.

قَالَ أَبُو زُمَيْلٍ: قَالَ ابْنُ عَبَّاسٍ: فَلَمَّا أَسَرُوا الْأَسَارَى، قَالَ رَسُولُ اللهِ ﷺ لِأَبِي بَكْرٍ وَعُمَرَ: « مَا تَرَوْنَ فِي هَؤُلَاءِ الْأُسَارَى؟ »، فَقَالَ أَبُو بَكْرٍ: يَا نَبِيَّ اللهِ! هُمْ بَنُو الْعَمِّ وَالْعَشِيرَةِ، أَرَى أَنْ تَأْخُذَ مِنْهُمْ فِدْيَةٍ، فَتَكُونُ لَنَا قُوَّةً عَلَى الْكُفَّارِ، فَعَسَى اللهُ أَنْ يَهْدِيَهُمْ لِلْإِسْلَامِ. فَقَالَ رَسُولُ اللهِ ﷺ: « مَا تَرَى يَا ابْنَ الْخَطَابِ؟ » قُلْتُ: لَا، وَاللهِ يَا رَسُولَ اللهِ، مَا أَرَى الَّذِي رَأَى أَبُو بَكْرٍ، وَلَكِنِّي أَرَى أَنْ تُمَكّنَّا فَنَضْرِبَ أَعْنَاقُهُمْ، فَتُمَكِّنَ عَلِيًّا مِنْ عَقِيلٍ فَيَضْرِبَ عُنُقَهُ، وَتُمَكَّنِّي مِنْ - فُلَانٍ نَسِيباً لِعُمَرَ - فَأَضْرِبَ عُنُقَهُ، فَإِنَّ هَؤُلَاءِ أَئِمَّةُ الْكُفْرِ وَصَنَادِيدُهَا، فَهَوِيَ رَسُولُ اللهِ ﷺ مَا قَالَ أَبُو بَكْرٍ، وَلَمْ يَهْوَ مَا قُلْتُ.

فَلَمَّا كَانَ مِنْ الْغَدِ جِئْتُ فَإِذَا رَسُولُ اللهِ ﷺ وَأَبُو بَكْر قَاعِدَيْنِ يَبْكِيَان، قُلْتُ: يَا رَسُولَ اللهِ، أَخْبِرْنِي مِنْ أَيِّ شَيْءٍ تَبْكي أَنْتَ وَصَاحِبُكَ، فَإِنْ وَجَدْتُ بُكَاءً بَكَيْتُ، وَإِنْ لَمْ أَجِدُ بُكَاءً تَبَاكَيْتُ لِبُكَائِكُمَا، فَقَالَ رَسُولُ اللهِ ﷺ: « أَبْكِي لِلَّذِي عَرَضَ عَلَيَّ أَصْحَابُكَ مِنْ أَخْذِهِم الْفِدَاءَ، لَقَدْ عُرِضَ عَلَيَّ عَذَابُهُمْ أَدْنَى مِنْ هَذِهِ الشَّجَرَةِ » - شَجَرَةٍ قَرِيبَةٍ مِنْ نَبِيِّ اللهِ ﷺ - وَأَنْزَلَ اللهُ عز و جل: { مَا كَانَ لِنَبِىٍّ أَن يَكُونَ لَهُۥٓ أَسْرَىٰ حَتَّىٰ يُثْخِنَ فِى ٱلْأَرْضِ ۚ } إِلَى قَوْلِهِ { فَكُلُوا۟ مِمَّا غَنِمْتُمْ حَلَـٰلًا طَيِّبًا ۚ } فَأَحَلَّ اللهُ الْغَنِيمَةَ لَهُمْ. واللفظ لمسلم."
8,"67-68-69","عَنْ عَبْدِ اللهِ - يَعْنِي ابْنَ مَسْعُودٍ رضي الله عنه - قَالَ: لَمَّا كَانَ يَوْمُ بَدْرٍ، قَالَ: قَالَ رَسُولُ اللهِ ﷺ: « مَا تَقُولُونَ فِي هَؤُلَاءِ الْأَسْرَى؟ » قَالَ: فَقَالَ أَبُو بَكْرٍ: يَا رَسُولَ اللهِ، قَوْمُكَ وَأَهْلُكَ، اسْتَبْقِهِمْ، وَاسْتَأْنِ بِهِمْ، لَعَلَّ اللهَ أَنْ يَتُوبَ عَلَيْهِمْ، قَالَ: وَقَالَ عُمَرُ: يَا رَسُولَ اللهِ، أَخْرَجُوكَ وَكَذَّبُوكَ، قَرِّبْهُمْ فَاضْرِبْ أَعْنَاقَهُمْ، قَالَ: وَقَالَ عَبْدُ اللهِ بْنُ رَوَاحَةَ: يَا رَسُولَ اللهِ، انْظُرْ وَادِياً كَثِيرَ الْحَطَبِ، فَأَدْخِلْهُمْ فِيهِ، ثُمَّ أَضْرِمْ عَلَيْهِمْ نَاراً، قَالَ: فَقَالَ الْعَبَّاسُ: قَطَعْتَ رَحِمَكَ، قَالَ: فَدَخَلَ رَسُولُ اللهِ ﷺ، وَلَمْ يَرُدَّ عَلَيْهِمْ شَيْئًا، قَالَ: فَقَالَ نَاسٌ: يَأْخُذُ بِقَوْلِ أَبِي بَكْرٍ، وَقَالَ نَاسٌ: يَأْخُذُ بِقَوْلِ عُمَرَ، وَقَالَ نَاسٌ: يَأْخُذُ بِقَوْلِ عَبْدِ اللهِ بْنِ رَوَاحَةَ، قَالَ: فَخَرَجَ عَلَيْهِمْ رَسُولُ اللهِ ﷺ، فَقَالَ: « إِنَّ الله لَيُلِينُ قُلُوبَ رِجَالٍ فِيهِ، حَتَّى تَكُونَ أَلْيَنَ مِنْ اللَّبَنِ، وَإِنَّ اللهَ لَيَشُدُّ قُلُوبَ رِجَالٍ فِيهِ، حَتَّى تَكُونَ أَشَدَّ مِنْ الْحِجَارَةِ، وَإِنَّ مَثَلَكَ يَا أَبَا بَكْرٍ، كَمَثَلِ إِبْرَاهِيمَ عليه السلام قَالَ: { فَمَن تَبِعَنِى فَإِنَّهُۥ مِنِّى ۖ وَمَنْ عَصَانِى فَإِنَّكَ غَفُورٌ رَّحِيمٌ }، وَمَثَلَكَ يَا أَبَا بَكْرٍ، كَمَثَل عِيسَى، قَالَ: { إِن تُعَذِّبْهُمْ فَإِنَّهُمْ عِبَادُكَ ۖ وَإِن تَغْفِرْ لَهُمْ فَإِنَّكَ أَنتَ ٱلْعَزِيزُ ٱلْحَكِيمُ ﴿١١٨﴾ }، وَإِنْ مَثَلَكَ يَا عُمَرُ، كَمَثَلِ نُوحٍ، قَالَ: { رَّبِّ لَا تَذَرْ عَلَى ٱلْأَرْضِ مِنَ ٱلْكَـٰفِرِينَ دَيَّارًا }، وَإِنَّ مِثْلَكَ يَا عُمَرُ، كَمَثَلِ مُوسَى، قَالَ: { وَٱشْدُدْ عَلَىٰ قُلُوبِهِمْ فَلَا يُؤْمِنُوا۟ حَتَّىٰ يَرَوُا۟ ٱلْعَذَابَ ٱلْأَلِيمَ }، أَنْتُمْ عَالَةٌ فَلَا يَنْفَلِئَنَّ مِنْهُمْ أَحَدٌ إِلَّا بِفِدَاءٍ، أَوْ ضَرْبَةِ عُنُقٍ »، قَالَ عَبْدُ الله: فَقُلْتُ: يَا رَسُولَ اللهِ، إِلَّا سُهَيْلُ ابْنُ بَيْضَاءَ، فَإِنِّي قَدْ سَمِعْتُهُ يَذْكُرُ الْإِسْلَامَ، قَالَ: فَسَكَتَ، قَالَ: فَمَا رَأَيْتُنِي فِي يَوْمٍ، أَخْوَفَ أَنْ تَقَعَ عَلَيَّ حِجَارَةٌ مِنْ السَّمَاءِ، فِي ذَلِكَ الْيَوْمِ حَتَّى قَالَ: « إِلَّا سُهَيْلُ ابْنُ بَيْضَاءَ »، قَالَ: فَأَنْزَلَ اللهُ عز و جل { مَا كَانَ لِنَبِىٍّ أَن يَكُونَ لَهُۥٓ أَسْرَىٰ حَتَّىٰ يُثْخِنَ فِى ٱلْأَرْضِ ۚ تُرِيدُونَ عَرَضَ ٱلدُّنْيَا وَٱللَّهُ يُرِيدُ ٱلْـَٔاخِرَةَ ۗ وَٱللَّهُ عَزِيزٌ حَكِيمٌ ﴿٦٧﴾ } إِلَى قَوْلِهِ { لَّوْلَا كِتَٰبٌ مِّنَ ٱللَّهِ سَبَقَ لَمَسَّكُمْ فِيمَآ أَخَذْتُمْ عَذَابٌ عَظِيمٌ ﴿٦٨﴾ }. واللفظ لأحمد.

وقد جاء عن ابن عمر عن النبي ﷺ شبيهاً به.

وقد جاء عَنْ أَنَسٍ له شبيهاً بما جاء عن ابن عباس."
