"surah","ayahs","cause"
9,"19","عَنِ النُّعْمَانِ بْنِ بَشِيرٍ رضي الله عنهما قَالَ: كُنْتُ عِنْدَ مِنْبَرِ رَسُولِ اللهِ ﷺ، فَقَالَ رَجُلٌ: مَا أُبَالِي أَنْ لَا أَعْمَلَ عَمَلًا بَعْدَ الْإِسْلَامِ، إِلَّا أَنْ أَسْقِيَ الْحَاجَّ، وَقَالَ آخَرُ: مَا أُبَالِي أَنْ لَا أَعْمَلَ عَمَلًا بَعْدَ الْإِسْلَامِ، إِلَّا أَنْ أَعْمُرَ الْمَسْجِدَ الْحَرَامَ، وَقَالَ آخَرُ: الْجِهَادُ فِي سَبِيلِ اللهِ أَفْضَلُ مِمَّا قُلْتُمْ، فَزَجَرَهُمْ عُمَرُ وَقَالَ: لَا تَرْفَعُوا أَصْوَاتَكُمْ عِنْدَ مِنْبَرِ رَسُولِ اللهِ ﷺ - وَهُوَ يَوْمُ الْجُمُعَةِ - وَلَكِنْ إِذَا صَلَّيْتُ الْجُمُعَةَ دَخَلْتُ فَاسْتَفْتَيْتُهُ فِيمَا اخْتَلَفْتُمْ فِيهِ، فَأَنْزَلَ اللهُ عز و جل: { أَجَعَلْتُمْ سِقَايَةَ ٱلْحَآجِّ وَعِمَارَةَ ٱلْمَسْجِدِ ٱلْحَرَامِ كَمَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ } الْآيَةَ إِلَى آخِرِهَا. واللفظ لمسلم."
9,"19","وهناك سبب آخر لنزول هذه الآية: عن ابن عباس رضي الله عنهما قوله: { أَجَعَلْتُمْ سِقَايَةَ ٱلْحَآجِّ وَعِمَارَةَ ٱلْمَسْجِدِ ٱلْحَرَامِ كَمَنْ ءَامَنَ بِٱللَّهِ وَٱلْيَوْمِ ٱلْـَٔاخِرِ }، قال العباس بن عبد المطلب - حين أسر يوم بدر -: لئن كنتم سبقتمونا بالإسلام، والهجرة، والجهاد، لقد كنا نعمر المسجد الحرام، ونسقي الحاج، ونفك العاني، قال الله: { أَجَعَلْتُمْ سِقَايَةَ } إلي قوله { ٱلظَّـٰلِمِينَ }."
9,"39","عن ابن عباس رضي الله تعالى عنهما: أن رسول الله ﷺ استنفر حيّاً من العرب فتثاقلوا، فنزلت: { إِلَّا تَنفِرُوا۟ يُعَذِّبْكُمْ عَذَابًا أَلِيمًا }، قال: كان عذابهم حبس المطر عنهم."
9,"49","عن ابن عباس رضي الله عنهما قال: لما أراد النبي ﷺ أن يخرج إلى غزوة تبوك، قال للجد بن قيس: ما تقول في مجاهدة بني الأصفر؟ قال: یا رسول الله إني امرؤ صاحب نساء ومتى أرى نساء بني الأصفر أفتتن، أفتأذن لي في الجلوس ولا تفتني، فأنزل الله: { وَمِنْهُم مَّن يَقُولُ ٱئْذَن لِّى وَلَا تَفْتِنِّىٓ ۚ أَلَا فِى ٱلْفِتْنَةِ سَقَطُوا۟ ۗ }."
9,"49","وقد جاء من مرسل الزهري، ويزيد بن رومان، وعبد الله بن أبي بكر، وعاصم بن عمر بن قتادة وغيرهم، قالوا: قال رسول الله ﷺ ذات يوم - وهو في جهازه - للجد بن قيس أخي بن سلمة: « هل لك يا جد العام في جلاد بني الأصفر؟ » فقال: يا رسول الله أو تأذن لي ولا تفتني، فوالله لقد عرف قومي ما رجل أشد عجباً بالنساء مني، وإني أخشى إن رأيت نساء بني الأصفر أن لا أصبر عنهن. فأعرض عنه رسول الله ﷺ وقال: « قد أذنت لك » ففي الجد بن قيس نزلت هذه: { وَمِنْهُم مَّن يَقُولُ ٱئْذَن لِّى وَلَا تَفْتِنِّىٓ ۚ } الآية، أي إن كان إنما يخشى من نساء بني الأصفر وليس ذلك به، فما سقط فيه من الفتنة بتخلفه عن رسول الله ﷺ، والرغبة بنفسه عن نفسه أعظم."
9,"58","عَنْ أَبِي سَعِيدٍ الْخُدْرِيِّ رضي الله عنه قَالَ: بَيْنَا رَسُولُ اللهِ ﷺ يَقْسِمُ قِسْماً، إِذْ جَاءَهُ ابْنُ ذِي الْخُوَيْصِرَةِ التَّمِيمِيُّ، فَقَالَ: اعْدِلْ يَا رَسُولَ اللهِ، فَقَالَ: « وَيْلَكَ، وَمَنْ يَعْدِلُ إِذَا لَمْ أَعْدِلْ »، فَقَالَ عُمَرُ بْنُ الْخَطَابِ: يَا رَسُولَ اللهِ، أَتَأْذَنْ لِي فِيهِ فَأَضْرِبَ عُنُقَهُ، فَقَالَ النَّبِيُّ ﷺ: « دَعْهُ، فَإِنَّ لَهُ أَصْحَابَاً، يَحْتَقِرُ أَحَدُكُمْ صَلَاتَهُ مَعَ صَلَاتِهِ، وَصِيَامَهُ مَعَ صِيَامِهِ، يَمْرُقُونَ مِنْ الدِّينِ، كَمَا يَمْرُقُ السَّهْمُ مِنْ الرَّمِيَّةِ، فَيُنْظَرُ فِي قُذَذِهِ فَلَا يُوجَدُ فِيهِ شَيْءٌ، ثُمَّ يُنظَرُ فِي نَضِيَّتِهِ فَلَا يُوجَدُ فِيهِ شَيْءٌ، ثُمَّ يُنْظَرُ فِي رِصَافِهِ فَلَا يُوجَدُ فِيهِ شَيْءٌ، ثُمَّ يُنْظَرُ فِي نَصْلِهِ فَلَا يُوجَدُ فِيهِ شَيْءٌ، قَدْ سَبَقَ الْفَرْثَ وَالدَّمَ، مِنْهُمْ رَجُلٌ أَسْوَدُ فِي إِحْدَى يَدَيْهِ - أَوْ قَالَ إِحْدَى ثَدْيَيْهِ - مِثْلُ ثَدْيِ الْمَرْأَةِ، أَوْ مِثْلُ الْبَضْعَةِ تَدَرْدَرُ، يَخْرُجُونَ عَلَى حِينِ فَتْرَةٍ مِنْ النَّاسِ » فَنَزَلَتْ فِيهِمْ { وَمِنْهُم مَّن يَلْمِزُكَ فِى ٱلصَّدَقَـٰتِ } الْآيَةَ.

قَالَ أَبُو سَعِيدٍ: أَشْهَدُ أَنِّي سَمِعْتُ هَذَا مِنْ رَسُولِ اللهِ ﷺ، وَأَشْهَدُ أَنَّ عَلِيًّا حِينَ قَتَلَهُ وَأَنَا مَعَهُ جِيءَ بِالرَّجُلِ عَلَى النَّعْتِ الَّذِي نَعَتَ رَسُولُ اللهِ ﷺ."
9,"65-66","عن عبد الله بن عمر رضي الله عنهما قال: قال رجل في غزوة تبوك في مجلس: ما رأيت مثل قرائنا هؤلاء أرغب بطونا، ولا أكذب ألسنا، ولا أجبن عند اللقاء. فقال رجل في المجلس: كذبت، ولكنك منافق، لأخبرن رسول الله ﷺ. فبلغ ذلك رسول الله ﷺ ونزل القرآن.

فقال عبد الله بن عمرو: أنا رأيته متعلقاً بحقب ناقة رسول الله ﷺ تنكبه الحجارة، وهو يقول: يا رسول الله إنما كنا نخوض ونلعب، ورسول الله ﷺ يقول: { أَبِٱللَّهِ وَءَايَـٰتِهِۦ وَرَسُولِهِۦ كُنتُمْ تَسْتَهْزِءُونَ } الآية."
9,"65-66","وهناك سبب آخر لنزول هذه الآية: فقد جاء عن كعب بن مالك رضي الله عنها قال: « كان جماعة من المنافقين، ورجل من أشجع حليف لبني سلمة يقال له: مخشي بن حمير، يسيرون مع رسول الله ﷺ وهو منطلق إلى تبوك فقال بعضهم لبعض: أتحسبون جلاد بني الأصفر كقتال العرب بعضهم بعضاً، والله لكأنا بكم غداً مقرنين في الحبال إرجافاً وترهيباً للمؤمنين، وقال مخشي بن حمير والله لوددت أن أقاضي على أن يضرب كل رجل منكم مائة على أن ينجو من أن ينزل فينا قرآن، فقال رسول الله ﷺ لعمار بن ياسر: « أدرك القوم فإنهم قد احترقوا، فسلهم عما قالوا، فإن هم أنكروا، فقل: بلى، قلتم كذا وكذا »، فأدركهم فقال لهم: فجاءوا يعتذرون إليه، فأنزل الله: { لَا تَعْتَذِرُوا۟ قَدْ كَفَرْتُم بَعْدَ إِيمَـٰنِكُمْ ۚ إِن نَّعْفُ عَن طَآئِفَةٍ }، فكان الذي عفى الله عنه مخشي بن حمير، فتسمى عبد الرحمن، وسأل الله أن يقتل شهيداً، وألا يعلم بمقتله، فقتل باليمامة لا يعلم مقتله، ولا من قتله ولا يرى له أثر ولا عين."
9,"74","عن أنس بن مالك رضي الله عنه: سأل أنس - بعض من كان عنده - عن زيد بن أرقم رضي الله عنه فقال: هو الذي يقول له رسول الله ﷺ: «أوفى الله له بإذنه ». 
قال: وذلك حين سمع رجلاً من المنافقين يقول - ورسول الله ﷺ يخطب -: لئن كان صادقاً فنحن شر من الحمير، فقال زيد بن أرقم: فهو والله صادق، ولأنت شر من الحمار. ثم رفع ذلك إلى رسول الله ﷺ، فجحده، فأنزل الله هذه الآية تصديقاً لزيد، يعني قوله: { يَحْلِفُونَ بِٱللَّهِ مَا قَالُوا۟ } الآية."
9,"74","ولها سبب آخر: فقد جاء عن ابن عباس رضي الله عنهما قال: كان رسول الله ﷺ جالساً تحت ظل شجرة، فقال: « إنه سيأتيكم إنسان فينظر إليكم - بعين الشيطان - فإذا جاء فلا تكلموه »، فلم يلبثوا أن طلع رجل أزرق، فدعاه رسول الله ﷺ فقال: « علام تشتمني أنت وأصحابك؟ »، فانطلق الرجل فجاء بأصحابه فحلفوا بالله ما قالوا، حتى تجاوز عنهم، فأنزل الله { يَحْلِفُونَ بِٱللَّهِ مَا قَالُوا۟ } الآية."
