"surah","ayahs","occasion"
5,"6","عَنْ عَائِشَةَ زَوْجِ النَّبِيِّ ﷺ قَالَتْ: خَرَجْنَا مَعَ رَسُولِ اللّهِ ﷺ فِي بَعْضِ أَسْفَارِهِ، حَتَّى إِذَا كُنَّا بِالْبَيْدَاءِ أَوْ بِذَاتِ الْجَيْشِ انْقَطَعَ عِقْدٌ لِي، فَأَقَامَ رَسُولُ اللّهِ ﷺ عَلَى الْتِمَاسِهِ، وَأَقَامَ النَّاسُ مَعَهُ، وَلَيْسُوا عَلَى مَاءٍ، فَأَتَى النَّاسُ إِلَى أَبِي بَكْرٍ الصِّدِّيقِ، فَقَالُوا: أَلَا تَرَى مَا صَنَعَتْ عَائِشَةُ؟! أَقَامَتْ بِرَسُولِ اللهِ ﷺ وَالنَّاسِ، وَلَيْسُوا عَلَى مَاءٍ، وَلَيْسَ مَعَهُمْ مَاءٌ!!

فَجَاءَ أَبُو بَكْرٍ وَرَسُولُ اللهِ ﷺ وَاضِعٌ رَأْسَهُ عَلَى فَخِذِي قَدْ نَامَ، فَقَالَ: حَبَسْتِ رَسُولَ اللهِ ﷺ وَالنَّاسَ، وَلَيْسُوا عَلَى مَاءٍ، وَلَيْسَ مَعَهُمْ مَاءٌ! فَقَالَتْ عَائِشَةُ: فَعَاتَبَنِي أَبُو بَكْرٍ، وَقَالَ مَا شَاءَ اللَّهُ أَنْ يَقُولَ، وَجَعَلَ يَطْعُنُنِي بِيَدِهِ فِي خَاصِرَتِي، فَلَا يَمْنَعُنِي مِنْ التَّحَرُّكِ إِلَّا مَكَانُ رَسُولِ اللهِ ﷺ عَلَى فَخِذِي، فَقَامَ رَسُولُ اللهِ ﷺ حِينَ أَصْبَحَ عَلَى غَيْرِ مَاءٍ، فَأَنْزَلَ اللهُ آية التَّيَمُّمِ فَتَيَمَّمُوا، فَقَالَ: أُسَيْدُ بْنُ الْحُضَيْرِ: مَا هِيَ بِأَوَّلِ بَرَكَتِكُمْ يَا آلَ أَبِي بَكْرٍ. قَالَتْ: فَبَعَثْنَا الْبَعِيرَ الَّذِي كُنْتُ عَلَيْهِ، فَأَصَبْنَا الْعِقْدَ تَحْتَه. واللفظ للبخاري.

وجاء عَن ابْنِ عَبَّاسٍ عَنْ عَمَّارِ بْنِ يَاسِرِ شبيهاً به."
5,"33","عَنْ أَنَسِ بْنِ مَالِكٍ رضي الله عنه: أَنَّ قَوْماً مِنْ عُكْلٍ - أَوْ قَالَ: مِنْ عُرَيْنَةَ - قَدِمُوا عَلَى رَسُولِ اللهِ ﷺ فَاجْتَوَواْ الْمَدِينَةَ، فَأَمَرَ لَهُمْ رَسُولُ اللهِ ﷺ بِلِقَاحٍ وَأَمَرَهُمْ أَنْ يَشْرَبُوا مِنْ أَبْوَالِهَا وَأَلْبَانِهَا، فَانْطَلَقُوا، فَلَمَّا صَحُّوا قَتَلُوا رَاعِيَ رَسُولِ اللهِ ﷺ، وَاسْتَاقُوا النَّعمَ، فَبَلَغَ النَّبِيَّ ﷺ خَبَرُهُمْ مِنْ أَوَّلِ النَّهَارِ، فَأَرْسَلَ النَّبِيُّ ﷺ فِي آثَارِهِمْ، فَمَا ارْتَفع النَّهَارُ حَتَّى جِيءَ بِهِمْ فَأَمَرَ بِهِمْ، فَقُطِعَتْ أَيْدِيهِمْ وَأَرْجُلُهُمْ، وَسُمَرَ أَعْيُنُهُمْ، وَأُلْقُوا فِي الْحَرَّةِ يَسْتَسْقُونَ فَلَا يُسْقَوْنَ، قَالَ أَبُو قِلَابَةَ: فَهَؤُلَاءِ قَوْمٌ سَرَقُوا وَقَتَلُوا، وَكَفَرُوا بَعْدَ أَيْمَانِهِمْ، وَحَارَبُوا اللهَ وَرَسُولَهُ.

وَعَنْ أَبِي قِلَابَةَ عَنْ أَنَسِ بْنِ مَالِكٍ بِهَذَا الْحَدِيثِ، قَالَ فِيهِ: فَبَعَثَ رَسُولُ اللهِ ﷺ فِي طَلَبِهِمْ قَافَةً، فَأُتِيَ بِهِمْ، قَالَ: فَأَنْزَلَ اللهُ تَبَارَكَ وَتَعَالَى فِي ذَلِكَ: { إِنَّمَا جَزَٰٓؤُا۟ ٱلَّذِينَ يُحَارِبُونَ ٱللَّهَ وَرَسُولَهُۥ وَيَسْعَوْنَ فِى ٱلْأَرْضِ فَسَادًا } الْآيَةَ. واللفظ لأبي داود، وأصل القصة في الصحيحين."
5,"41","عَنِ الْبَرَاءِ بْنِ عَازِبٍ رضي الله عنهما قَالَ: مُرَّ عَلَى النَّبِيِّ ﷺ بِيَهُودِيٍّ مُحَمَّماً مَجْلُوداً، فَدَعَاهُمْ ﷺ فَقَالَ: « هَكَذَا تَجِدُونَ حَدَّ الزَّانِي فِي كِتَابِكُمْ؟ » قَالُوا: نَعَمْ. فَدَعَا رَجُلًا مِنْ عُلَمَائِهِمْ، فَقَالَ: « أَنْشُدُكَ بِاللَّهِ الَّذِي أَنْزَلَ التَّوْرَاةَ عَلَى مُوسَى، أَهَكَذَا تَجِدُونَ حَدَّ الزَّانِي فِي كِتَابِكُمْ؟ » قَالَ: لَا، وَلَوْلَا أَنَّكَ نَشَدْتَنِي بِهَذَا لَمْ أُخْبِرْكَ، نَجِدُهُ الرَّجْمَ، وَلَكِنَّهُ كَثُرَ فِي أَشْرَافِنَا، فَكُنَّا إِذَا أَخَذْنَا الشَّرِيفَ تَرَكْنَاهُ، وَإِذَا أَخَذْنَا الضَّعِيفَ أَقَمْنَا عَلَيْهِ الْحَدَّ، قُلْنَا: تَعَالَوْا فَلْنَجْتَمِعْ عَلَى شَيْءٍ نُقِيمُهُ عَلَى الشَّرِيفِ وَالْوَضِيعِ، فَجَعَلْنَا التَّحْمِيمَ وَالْجَلْدَ مَكَانَ الرَّجْمِ، فَقَالَ رَسُولُ اللهِ ﷺ: « اللَّهُمَّ إِنِّي أَوَّلُ مَنْ أَحْيَا أَمْرَكَ إِذْ أَمَاتُوهُ »فَأَمَرَ بِهِ فَرُجِمَ، فَأَنْزَلَ اللهُ عَز و جل: { يَٰٓأَيُّهَا ٱلرَّسُولُ لَا يَحْزُنكَ ٱلَّذِينَ يُسَـٰرِعُونَ فِى ٱلْكُفْرِ } إِلَى قَوْلِهِ { إِنْ أُوتِيتُمْ هَـٰذَا فَخُذُوهُ... } واللفظ لأبي داود."
5,"41","عَنْ أَبِي هُرَيْرَةَ رضي اللهِ عنه قَالَ: زَنَى رَجُلٌ مِنْ الْيَهُودِ وَامْرَأَةٌ، فَقَالَ بَعْضُهُمْ لِبَعْضٍ: اذْهَبُوا بِنَا إِلَى هَذَا النَّبِيِّ، فَإِنَّهُ نَبِيٌّ بُعِثَ بِالتَّخْفِيفِ، فَإِنْ أَفْتَانَا بِفُتْيَا دُونَ الرَّجْم قَبِلْنَاهَا وَاحْتَجَجْنَا بِهَا عِنْدَ اللهِ، قُلْنَا: فُتْيَا نَبِيٍّ  مِنْ أَنْبِيَائِكَ، قَالَ: فَأَتَوْا النَّبِيَّ ﷺ وَهُوَ جَالِسٌ فِي الْمَسْجِدِ فِي أَصْحَابِهِ، فَقَالُوا: يَا أَبَا الْقَاسِمِ، مَا تَرَى فِي رَجُلٍ وَامْرَأَةٍ زَنَيَا؟ فَلَمْ يُكَلِّمُهُمْ كَلِمَةً حَتَّى أَتَى بَيْتَ مِدْرَاسِهِمْ، فَقَامَ عَلَى الْبَابِ فَقَالَ: « أَنْشُدُكُمْ بِاللَّهِ الَّذِي أَنْزَلَ التَّوْرَاةَ عَلَى مُوسَى، مَا تَجِدُونَ فِي التَّوْرَاةِ عَلَى مَنْ زَنَى إِذَا أَحْصَنَ؟ » قَالُوا: يُحَمَّمُ وَيُجَبَّهُ وَيُجْلَدُ، وَالتَّجْبِيةُ أَنْ يُحْمَلَ الزَّانِيَانِ عَلَى حِمَارٍ وَتُقَابَلُ أَقْفِيَتُهُمَا وَيُطَافُ بِهِمَا، قَالَ: وَسَكَتَ شَابٌ مِنْهُمْ فَلَمَّا، رَآهُ النَّبِيُّ ﷺ سَكَتَ أَلَظَّ بِهِ النِّشْدَةَ، فَقَالَ: اللَّهُمَّ إِذْ نَشَدْتَنَا فَإِنَّا نَجِدُ فِي التَّوْرَاةِ الرَّجْمَ. فَقَالَ النَّبِيُّ ﷺ: «فَمَا أَوَّلُ مَا ارْتَخَصْتُمْ أَمْرَ اللهِ»، قَالَ: زَنَى ذُو قَرَابَةٍ مِنْ مَلِكٍ مِنْ مُلُوكِنَا فَأَخَّرَ عَنْهُ الرَّجْمَ، ثُمَّ زَنَى رَجُلٌ فِي أُسْرَةٍ مِنْ النَّاسِ فَأَرَادَ رَجْمَهُ فَحَالَ قَوْمُهُ دُونَهُ، وَقَالُوا: لَا يُرْجَمُ صَاحِبُنَا حَتَّى تَجِيءَ بِصَاحِبِكَ فَتَرْجُمَهُ، فَاصْطَلَحُوا عَلَى هَذِهِ الْعُقُوبَةِ بَيْنَهُمْ، فَقَالَ النَّبِيُّ ﷺ: « فَإِنِّي أَحْكُمُ بِمَا فِي التَّوْرَاةِ »، فَأَمَرَ بِهِمَا فَرُجِمَا. قَالَ الزُّهْرِيُّ: فَبَلَغَنَا أَنَّ هَذِهِ الآيَةَ نَزَلَتْ فِيهِمْ { إِنَّآ أَنزَلْنَا ٱلتَّوْرَىٰةَ فِيهَا هُدًى وَنُورٌ ۚ يَحْكُمُ بِهَا ٱلنَّبِيُّونَ ٱلَّذِينَ أَسْلَمُوا۟ } كَانَ النَّبِيُّ ﷺ مِنْهُمْ. واللفظ لأبي داود."
5,"42","عن جابر بن عبد الله رضي الله عنهما قال: زنی رجل من أهل فدك، فكتب أهل فدك إلى ناس من اليهود بالمدينة، أن سلوا محمداً عن ذلك، فإن أمركم بالجلد فخذوه عنه، وإن أمركم بالرجم فلا تأخذوه عنه، فسألوه عن ذلك، فقال: « أرسلوا إلي أعلم رجلين فيكم »، فجاؤوا برجل أعور يقال له: ابن صوريا، وآخر، فقال لهما النبي ﷺ: « أنتما أعلم من قبلكما؟ »، فقالا: قد دعانا قومنا لذلك، فقال النبي ﷺ لهما: « أليس عندكم التوراة فيها حكم الله؟ » قالا: بلى، فقال النبي ﷺ: « أنشدكم بالذي فلق البحر لبني إسرائيل، وظلل عليكم الغمام، وأنجاكم من آل فرعون، وأنزل المن والسلوى على بني إسرائيل، ما تجدون في التوراة في شأن الرجم؟ » فقال أحدهما للآخر: ما نشدت بمثله قط، ثم قالا: نجد ترداد النظر زنية، والاعتناق زنية والتقبيل زنية، فإذا شهد أربعة أنهم رأوه يبدىء ويعيد كما يدخل الميل في المكحلة فقد وجب الرجم، فقال النبي ﷺ: « هو ذاك » فأمر به فرجم فنزلت { فَإِن جَآءُوكَ فَٱحْكُم بَيْنَهُمْ أَوْ أَعْرِضْ عَنْهُمْ ۖ وَإِن تُعْرِضْ عَنْهُمْ فَلَن يَضُرُّوكَ شَيْـًٔا ۖ وَإِنْ حَكَمْتَ فَٱحْكُم بَيْنَهُم بِٱلْقِسْطِ ۚ إِنَّ ٱللَّهَ يُحِبُّ ٱلْمُقْسِطِينَ }."
5,"42","وهناك سبب ثان لنزول الآية: عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما قَالَ: كَانَ قُرَيْظَةُ وَالنَّضِيرُ، وَكَانَ النَّضِيرُ أَشْرَفَ مِنْ قُرَيْظَةَ، فَكَانَ إِذَا قَتَلَ رَجُلٌ مِنْ قُرَيْظَةَ رَجُلًا مِنْ النَّضِيرِ قُتِلَ بِهِ، وَإِذَا قَتَلَ رَجُلٌ مِنْ النَّضِير رَجُلًا مِنْ قُرَيْظَةَ فُودِيَ بِمِائَةِ وَسْقٍ مِنْ تَمْرٍ، فَلَمَّا بُعِثَ النَّبِيُّ ﷺ قَتَلَ رَجُلٌ مِنْ النَّضِيرِ رَجُلًا مِنْ قُرَيْظَةَ، فَقَالُوا: ادْفَعُوهُ إِلَيْنَا نَقْتُلُهُ، فَقَالُوا: بَيْنَنَا وَبَيْنَكُمُ النَّبِيُّ ﷺ فَأَتَوْهُ، فَنَزَلَتْ { وَإِنْ حَكَمْتَ فَٱحْكُم بَيْنَهُم بِٱلْقِسْطِ ۚ } والقسط النفس بالنفس، واللفظ لأبي داود."
5,"44-45-47","عَنِ ابْنِ عَبَّاسٍ رضي الله عنهما قَالَ: إِنَّ اللَّهَ عز و جل أَنْزَلَ { فَأُو۟لَٰٓئِكَ هُمُ ٱلْكَـٰفِرُونَ }، { فَأُو۟لَٰٓئِكَ هُمُ ٱلظَّـٰلِمُونَ }، { فَأُو۟لَٰٓئِكَ هُمُ ٱلْفَـٰسِقُونَ } قَالَ: قَالَ ابْنُ عَبَّاسٍ: أَنْزَلَهَا اللهُ فِي الطَّائِفَتَينِ مِنْ الْيَهُودِ، وَكَانَتْ إِحْدَاهُمَا قَدْ قَهَرَت الْأُخْرَى فِي الْجَاهِلِيَّةِ، حَتَّى ارْتَضَوْا أَوْ اصْطَلَحُوا عَلَى أَنَّ كُلَّ قَتِيلٍ قَتَلَهُ الْعَزِيزَةُ مِنْ الذَّلِيلَةِ فَدِيَتُهُ خَمْسُونَ وَسْقاً، وَكُلَّ قَتِيلٍ قَتَلَهُ الذَّلِيلَةُ مِنْ الْعَزِيزَةِ فَدِيَتُهُ مِائَةُ وَسْقٍ، فَكَانُوا عَلَى ذَلِكَ حَتَّى قَدِمَ النَّبِيُّ ﷺ الْمَدِينَةَ، فَذَلَّتِ الطَّائِفَتَانِ كِلْتَاهُمَا لِمَقْدَمِ رَسُولِ اللهِ ﷺ، وَيَوْمَئِذٍ لَمْ يَظْهَرْ، وَلَمْ يُوطِئِهُمَا عَلَيْهِ، وَهُوَ فِي الصُّلْحِ، فَقَتَلَتِ الذَّلِيلَةُ مِنَ العَزِيْزَةَ قَتِيْلاً، فَأَرْسَلَتِ العَزِيْزَةُ إِلَى الذَّلِيلَةِ: أَنِ ابْعَثُوا إِلَيْنَا بِمِائَةِ وَسْقٍ، فَقَالَتِ الذَّلِيْلَةُ: وَهَلْ كَانَ هَذَا فِي حَيَّيْنِ قَطُّ دِينُهُمَا وَاحِدٌ، وَنَسَبُهُمَا وَاحِدٌ، وَبَلَدُهُمَا وَاحِدٌ، دِيَةُ بَعْضِهِمْ نِصْفُ دِيةِ بَعْضٍ، إِنَّا إِنَّمَا أَعْطَيْنَاكُمْ هَذَا ضَيْمًا مِنْكُمْ لَنَا، وَفَرَقاً مِنْكُمْ، فَأَمَّا إِذْ قَدِمَ مُحَمَّدٌ فَلَا نُعْطِيكُمْ ذَلِكَ.
فَكَادَتِ الْحَرْبُ تَهِيجُ بَيْنَهُمَا، ثُمَّ ارْتَضَوْا عَلَى أَنْ يَجْعَلُوا رَسُولَ اللهِ ﷺ بَيْنَهُمْ، ثُمَّ ذَكَرَتِ الْعَزِيزَةُ فَقَالَتْ: وَاللهِ مَا مُحَمَّدٌ بِمُعْطِيكُمْ مِنْهُمْ ضِعْفَ مَا يُعْطِيهِمْ مِنْكُمْ، وَلَقَدْ صَدَقُوا، مَا أَعْطَوْنَا هَذَا إِلَّا ضَيْماً مِنَّا، وَقَهْرَاً لَهُمْ، فَدُسُّوا إِلَى مُحَمَّدٍ مَنْ يَخْبُر لَكُمْ رَأْيَهُ، إِنْ أَعْطَاكُمْ مَا تُرِيدُونَ حَكَمْتُمُوهُ، وَإِنْ لَمْ يُعْطِكُمْ حَذِرْتُمْ فَلَمْ تُحَكِّمُوهُ، فَدَسُّوا إِلَى رَسُولِ اللهِ ﷺ، فَلَمَّا جَاءَ رَسُولَ اللهِ ﷺ، أَخْبَرَ اللهُ رَسُولَهُ بِأَمْرِهِمْ كُلِّهِ، وَمَا أَرَادُوا، فَأَنْزَلَ اللَّهُ عز و جل: { يَـٰٓأَيُّهَا ٱلرَّسُولُ لَا يَحْزُنكَ ٱلَّذِينَ يُسَـٰرِعُونَ فِى ٱلْكُفْرِ مِنَ ٱلَّذِينَ قَالُوٓا۟ ءَامَنَّا } إِلَى قَوْلِهِ: { وَمَن لَّمْ يَحْكُم بِمَآ أَنزَلَ ٱللَّهُ فَأُو۟لَـٰٓئِكَ هُمُ ٱلْفَـٰسِقُونَ }، ثُمَّ قَالَ: فِيهِمَا وَاللَّهِ نَزَلَتْ، وَإِيَّاهُمَا عَنَى اللَّهُ عز و جل. واللفظ لأحمد."
5,"51","قال محمد بن إسحاق: فحدثني أبي إسحاق بن يسار، عن عبادة بن الوليد بن عبادة بن الصامت قال: لما حاربت بنو قينقاع رسول الله ﷺ، تشبث بأمرهم عبد الله بن أُبيِّ وقام دونهم، ومشى عبادة بن الصامت إلى رسول الله ﷺ، وكان أحد بني عوف بن الخزرج له من حلفهم مثل الذي لعبد الله بن أُبيٍّ، فجعلهم إلى رسول الله ﷺ، وتبرأ إلى الله ورسوله من حلفهم، وقال: يا رسول الله، أبرأ إلى الله وإلى رسوله من حلفهم، وأتولى الله ورسوله والمؤمنين، وأبرأ من حِلْفِ الكفار وولايتهم. ففيه وفي عبد الله بن أُبَيٍّ نزلت الآيات في المائدة: { يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَتَّخِذُوا۟ ٱلْيَهُودَ وَٱلنَّصَـٰرَىٰٓ أَوْلِيَآءَ ۘ بَعْضُهُمْ } الي قوله { وَمَن يَتَوَلَّ ٱللَّهَ وَرَسُولَهُۥ وَٱلَّذِينَ ءَامَنُوا۟ فَإِنَّ حِزْبَ ٱللَّهِ هُمُ ٱلْغَـٰلِبُونَ ﴿٥٦﴾ }"
5,"57","عن ابن عباس رضي الله عنهما قال: كان رفاعة بن زيد بن التابوت، وسويد بن الحرث قد أظهرا الإسلام ثم نافقا، وكان رجال من المسلمين يوادُّونهما، فأنزل الله فيهما: { يَـٰٓأَيُّهَا ٱلَّذِينَ ءَامَنُوا۟ لَا تَتَّخِذُوا۟ ٱلَّذِينَ ٱتَّخَذُوا۟ دِينَكُمْ هُزُوًا وَلَعِبًا مِّنَ ٱلَّذِينَ أُوتُوا۟ ٱلْكِتَـٰبَ مِن قَبْلِكُمْ وَٱلْكُفَّارَ أَوْلِيَآءَ ۚ } إلى قوله: { وَٱللَّهُ أَعْلَمُ بِمَا كَانُوا۟ يَكْتُمُونَ } [المائدة: ٥٧ - ٦١]."
5,"59","عن ابن عباس رضي الله عنهما قال: أتى رسول الله ﷺ نفرٌ من اليهود، فيهم أبو ياسر بن أخطب، ورافع بن أبي رافع، وعازر، وزيد، وخالد، وأزار بن أبي أزار، وأشيع، فسألوه عمن يؤمن به من الرسل.
قال: « أؤمن بالله وما أنزل إلينا، وما أنزل إلى إبراهيم وإسماعيل وإسحاق ويعقوب والأسباط، وما أوتي موسى وعيسى، وما أوتي النبيون من ربهم، لا نفرق بين أحد منهم ونحن له مسلمون ».
فلما ذكر عيسى جحدوا نبوته، وقالوا: لا نؤمن بمن آمن به. فأنزل الله فيهم: { قُلْ يَـٰٓأَهْلَ ٱلْكِتَـٰبِ هَلْ تَنقِمُونَ مِنَّآ إِلَّآ أَنْ ءَامَنَّا بِٱللَّهِ وَمَآ أُنزِلَ إِلَيْنَا وَمَآ أُنزِلَ مِن قَبْلُ وَأَنَّ أَكْثَرَكُمْ فَـٰسِقُونَ ﴿٥٩﴾ }."
